CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
-200;974;-200;4.5;740;-200;873;-200;1595;703;26.1;59;1.9669
-200;1112;-200;8.9;936;-200;683;-200;1792;965;26.7;58;2.0023
-200;1175;-200;12.9;1080;-200;591;-200;1931;1102;27.9;54.9;2.0353
-200;1091;-200;8.6;925;-200;701;-200;1753;1058;29.7;50.5;2.0767
-200;1066;-200;7.8;890;-200;747;-200;1690;906;32.2;41.4;1.9624
-200;1031;-200;7.7;887;-200;777;-200;1665;844;35.6;32.2;1.8408
-200;1004;-200;7.3;868;-200;772;-200;1632;763;35.7;31.4;1.8025
-200;927;-200;3.8;698;-200;919;-200;1537;555;35.5;34.9;1.9841
-200;924;-200;3.3;673;-200;960;-200;1522;520;35;35.5;1.962
-200;912;-200;3.3;671;-200;964;-200;1508;508;35.1;34.6;1.9255
-200;976;-200;4.8;752;-200;876;-200;1561;545;36.8;30.5;1.8572
-200;989;-200;5.7;798;-200;840;-200;1607;584;34.5;34.7;1.8667
-200;986;-200;5.6;794;-200;845;-200;1619;590;33;38.1;1.8813
-200;984;-200;5.7;800;-200;836;-200;1607;610;30.8;43.1;1.8761
-200;1000;-200;7;857;-200;767;-200;1634;689;29.1;46.9;1.8652
-200;996;-200;6.8;848;-200;763;-200;1657;713;28.2;49.8;1.8795
-200;1013;-200;8.3;913;-200;717;-200;1685;785;27.5;50.4;1.823
-200;1004;-200;6.9;851;-200;767;-200;1632;754;27.3;49.1;1.7503
-200;949;-200;6;814;-200;824;-200;1563;653;26.7;46.7;1.6121
-200;895;-200;5.4;783;-200;863;-200;1502;575;26;45;1.4913
-200;863;-200;3.9;707;-200;927;-200;1407;537;25;47.3;1.4771
-200;786;-200;2;587;-200;1150;-200;1300;413;25.3;44.3;1.4032
-200;792;-200;2.2;597;-200;1137;-200;1320;417;24.3;46.3;1.3857
-200;816;-200;3;653;-200;1058;-200;1332;486;24.8;43.4;1.3347
-200;826;-200;3.5;682;-200;1088;-200;1342;532;24.5;40.6;1.2327
-200;826;-200;3.8;698;-200;1017;-200;1331;542;25.7;36.9;1.1991
-200;809;-200;3.2;664;-200;1061;-200;1323;459;26.8;35;1.2175
-200;809;-200;2.6;624;-200;1131;-200;1309;415;28;34.9;1.3008
-200;853;-200;3.5;681;-200;1031;-200;1368;457;29;34.1;1.3445
-200;814;-200;3.1;657;-200;1086;-200;1332;429;30.4;30.8;1.3155
-200;807;-200;3.1;658;-200;1113;-200;1328;428;32.4;26.3;1.2523
-200;811;-200;3;653;-200;1120;-200;1336;423;31;28.9;1.277
-200;796;-200;2.2;601;-200;1171;-200;1314;410;29.3;33.1;1.322
-200;833;-200;3;649;-200;1142;-200;1354;437;26.9;35.2;1.2334
-200;856;-200;3.5;684;-200;1023;-200;1368;520;28.1;34.2;1.2802
-200;830;-200;3.7;696;-200;1060;-200;1328;461;28.5;29.4;1.1298
-200;883;-200;5.4;782;-200;958;-200;1395;571;27.3;31;1.111
-200;965;-200;8.9;936;-200;808;-200;1535;866;25.4;36.2;1.1562
-200;931;-200;7.8;890;-200;831;-200;1474;841;24.6;38;1.158
-200;885;-200;5.6;791;-200;941;-200;1425;706;24.3;41.6;1.2467
-200;900;-200;5.2;773;-200;944;-200;1426;703;24.9;40.8;1.2696
-200;904;-200;6.7;845;-200;878;-200;1483;775;23.8;44.7;1.3019
-200;944;-200;8;900;-200;809;-200;1549;830;22.8;49.8;1.367
-200;907;-200;6.4;832;-200;868;-200;1492;808;22.8;49.4;1.3568
-200;886;-200;5.2;774;-200;868;-200;1486;815;20.9;57.4;1.4037
-200;882;-200;5.1;767;-200;856;-200;1492;897;20.5;60.6;1.447
-200;843;-200;4;713;-200;917;-200;1426;836;19.6;63.7;1.4396
-200;825;-200;3.7;694;-200;935;-200;1415;774;19.4;64.5;1.4394
-200;791;-200;2.8;638;-200;1038;-200;1389;698;18.6;67.4;1.4302
-200;856;-200;4.5;735;-200;936;-200;1455;800;19.6;63.7;1.4419
-200;861;-200;4.7;746;-200;911;-200;1448;771;21.7;56.4;1.4496
-200;924;-200;6;814;-200;830;-200;1519;798;25.2;47.4;1.4978
-200;941;-200;5.8;805;-200;842;-200;1512;755;30.4;34.1;1.4577
-200;879;-200;5.2;775;-200;899;-200;1407;657;33.4;25.1;1.2665
-200;816;-200;4.6;742;-200;1009;-200;1305;537;35.5;18.2;1.0376
-200;715;-200;2.1;589;-200;1286;-200;1127;390;35.1;15.7;0.8757
-200;717;-200;1.8;570;-200;1326;-200;1110;368;33.3;17.1;0.8592
-200;711;-200;2.8;640;-200;1224;-200;1084;391;36.6;11.8;0.7107
-200;731;-200;3.6;686;-200;1212;-200;1104;413;38.3;10;0.6591
-200;752;-200;4;713;-200;1163;-200;1144;435;37.3;10.9;0.6846
-200;879;-200;5.3;779;-200;999;-200;1347;535;34.6;20;1.0817
-200;922;-200;7.4;874;-200;851;-200;1447;663;30.4;28.2;1.204
-200;958;-200;8;900;-200;782;-200;1493;830;28.1;34.3;1.2821
-200;949;-200;7.4;876;-200;773;-200;1500;911;26.5;36.6;1.2484
-200;922;-200;6.1;818;-200;826;-200;1454;848;25.7;38.5;1.2548
-200;902;-200;5.5;790;-200;856;-200;1428;799;24.7;41.6;1.2751
-200;932;-200;6.2;820;-200;817;-200;1462;921;23.6;45.4;1.3067
-200;870;-200;4.4;733;-200;903;-200;1392;762;23.4;46.3;1.3134
-200;812;-200;3.4;675;-200;995;-200;1348;661;21.6;51.6;1.3171
-200;773;-200;2.4;613;-200;1065;-200;1321;597;21.2;53.3;1.328
-200;769;-200;2;582;-200;1105;-200;1306;616;20.6;55.1;1.3237
-200;763;-200;2;583;-200;1093;-200;1288;596;22.1;49.6;1.3022
-200;809;-200;3.8;701;-200;997;-200;1384;649;21.1;51.6;1.2784
-200;893;-200;7.6;881;-200;810;-200;1486;792;21.8;48.6;1.2556
-200;1028;-200;14.9;1146;-200;638;-200;1766;1080;21.7;49.1;1.2602
2;1011;-200;12;1051;111;702;-200;1659;1087;25.3;41.7;1.3243
-200;994;-200;9.2;947;-200;764;-200;1572;983;30.3;30.9;1.3096
1.6;937;-200;8.2;908;86;822;83;1466;826;32.9;24.9;1.2269
1.3;902;-200;5.9;808;57;912;64;1408;632;34.4;23.5;1.2541
1;860;-200;4.7;748;39;955;50;1344;532;34.3;22.5;1.1974
0.9;843;-200;4.1;716;41;1005;53;1305;496;33.4;21.6;1.0927
1;872;-200;4.9;760;47;979;57;1314;513;36.1;18.4;1.0827
1.1;857;-200;5.2;775;45;979;55;1258;512;37.3;15.4;0.9692
1.5;922;-200;7.5;878;60;880;70;1363;615;36.8;16.2;0.9922
1.5;951;-200;7.4;875;51;856;68;1406;600;34.9;20.9;1.1463
1.6;962;-200;7.8;891;53;813;73;1442;634;30.8;26.5;1.1603
1.7;957;-200;8.6;926;72;758;92;1480;830;28.9;28.3;1.1078
1.4;928;-200;6.5;837;62;808;80;1410;871;27;30.7;1.079
1.2;895;-200;6.8;846;41;819;60;1371;787;26.6;30.6;1.0459
1.1;902;-200;5.7;797;32;845;49;1355;841;26;33.1;1.0955
1.1;904;-200;5.8;801;44;852;53;1400;862;24.1;37.9;1.1204
1.2;919;-200;5.7;799;29;844;50;1409;881;22.2;43.1;1.1396
0.7;812;-200;3.2;663;18;982;34;1265;709;22.8;41.3;1.1284
0.5;776;-200;2.1;590;-200;1099;-200;1245;602;21.2;43.8;1.088
0.4;762;-200;1.7;563;12;1181;21;1208;492;21.7;42.6;1.0907
0.7;786;-200;2.8;642;39;1057;48;1270;592;20.2;47.1;1.1021
1.1;868;-200;5.7;798;83;866;71;1392;824;20.1;47.8;1.1093
1.6;965;-200;10;977;149;725;94;1515;1014;20.6;45.5;1.0925
2.3;1049;-200;14.5;1133;216;630;118;1662;1208;22.4;41.1;1.0979
1.6;1008;-200;9.9;973;153;714;105;1509;1178;25;36.6;1.143
2;1008;-200;11.2;1021;177;714;122;1549;1176;29.9;26.2;1.0891
1.6;973;-200;8.3;911;126;800;121;1441;891;32.9;21.8;1.0714
1.6;964;-200;9.5;959;96;787;115;1438;731;35;17.9;0.99
1.3;923;-200;7.1;862;92;875;107;1363;626;34.6;18.2;0.9832
1;934;-200;6;811;75;896;86;1343;553;33.8;22.8;1.1781
1.6;1036;-200;9.1;943;109;770;118;1509;770;36.3;19.5;1.1539
2;1076;-200;10.4;994;133;723;129;1549;938;38.3;17.9;1.181
1.7;1055;-200;8.7;927;87;757;90;1520;716;36.9;20.9;1.2864
1.7;1081;-200;9;938;80;728;87;1568;714;33.9;30;1.56
1.4;1072;-200;6.8;850;70;737;65;1604;702;29.8;43.4;1.7988
1.3;1038;-200;5.2;773;67;749;61;1568;687;27.5;50.4;1.8274
1.3;1059;-200;5.7;800;66;740;62;1604;739;27.5;50.4;1.8284
1.6;1070;-200;6.9;852;97;704;85;1639;867;28.1;48;1.7933
1.8;1093;-200;7.8;893;90;677;83;1678;927;26.9;49.6;1.7299
1.5;1016;-200;6.8;849;99;729;84;1609;872;26;48;1.5899
1.3;988;-200;6.3;825;71;756;71;1559;848;24.9;50.6;1.5747
1.1;930;-200;4.7;749;59;823;62;1464;777;23.7;53.2;1.5418
0.5;815;-200;2;584;-200;1102;-200;1363;513;24.5;50.9;1.5416
0.6;884;-200;3.6;686;26;908;40;1439;651;22.9;56.1;1.5492
0.7;913;-200;4.4;730;47;883;50;1493;774;23.3;55.5;1.5636
1.1;994;-200;6.4;829;108;784;78;1581;982;23.6;54.2;1.5583
1.9;1173;-200;11.9;1047;160;631;89;1815;1175;24.9;52.9;1.643
3.5;1314;-200;21;1325;204;499;106;2143;1390;26.4;50.8;1.7166
2.9;1252;-200;15.6;1168;193;557;107;1938;1352;28.1;47.4;1.7753
2.2;1151;-200;12.1;1053;146;623;93;1835;1152;30.2;43.2;1.823
2;1122;-200;9.3;951;126;687;95;1729;1022;31.2;41.9;1.871
1.7;1111;-200;8.7;927;90;707;78;1715;922;33.9;36;1.8692
1.6;1058;-200;7.9;894;84;736;76;1648;825;33.9;34.1;1.7754
1.3;972;-200;6.2;820;60;811;66;1535;630;34.4;30.6;1.6402
1.3;985;-200;6.3;826;66;808;71;1544;621;35.3;28.5;1.6034
1.3;1004;-200;6;814;57;808;61;1520;602;36.3;28.3;1.6851
1.6;1030;-200;7.9;897;71;733;73;1592;668;35.3;29.4;1.6577
1.3;965;-200;5.8;802;51;821;54;1504;564;32.5;34.1;1.6453
1.4;987;-200;6.3;824;49;793;53;1541;581;29.1;42.1;1.6695
1.4;923;-200;6;811;59;804;69;1434;604;27.8;35.6;1.3116
1.3;872;-200;6.3;824;66;853;77;1346;590;27;30;1.0542
1.4;939;-200;6.8;849;72;804;83;1479;650;26.3;37.3;1.2555
1.5;954;-200;7;855;89;792;94;1474;745;25.2;40.8;1.2877
1.5;969;-200;7;857;75;753;84;1485;821;24.3;43.3;1.2973
0.9;882;-200;5;763;38;879;55;1388;656;23.3;45.3;1.2794
0.6;805;-200;2.8;637;24;1048;35;1276;520;24.1;44;1.3034
0.5;790;-200;2.1;590;-200;1122;-200;1257;493;23.8;44.8;1.3061
-200;779;-200;1.7;560;19;1189;31;1231;487;23;47.7;1.3232
0.5;842;-200;2.8;640;40;1070;45;1293;595;23.7;46.7;1.3501
1;-200;-200;-200;-200;63;-200;59;-200;-200;-200;-200;-200
1.9;-200;-200;-200;-200;121;-200;83;-200;-200;-200;-200;-200
2.6;-200;-200;-200;-200;143;-200;90;-200;-200;-200;-200;-200
1.7;-200;-200;-200;-200;104;-200;87;-200;-200;-200;-200;-200
1.7;-200;-200;-200;-200;111;-200;83;-200;-200;-200;-200;-200
1.4;-200;-200;-200;-200;83;-200;71;-200;-200;-200;-200;-200
1.6;-200;-200;-200;-200;90;-200;77;-200;-200;-200;-200;-200
1.3;-200;-200;-200;-200;82;-200;75;-200;-200;-200;-200;-200
0.9;-200;-200;-200;-200;48;-200;52;-200;-200;-200;-200;-200
1.4;-200;-200;-200;-200;89;-200;76;-200;-200;-200;-200;-200
1;-200;-200;-200;-200;58;-200;60;-200;-200;-200;-200;-200
2.2;-200;-200;-200;-200;129;-200;99;-200;-200;-200;-200;-200
1.9;-200;-200;-200;-200;103;-200;88;-200;-200;-200;-200;-200
2.1;-200;-200;-200;-200;115;-200;91;-200;-200;-200;-200;-200
1.7;-200;-200;-200;-200;108;-200;91;-200;-200;-200;-200;-200
1;-200;-200;-200;-200;60;-200;68;-200;-200;-200;-200;-200
1.1;-200;-200;-200;-200;68;-200;71;-200;-200;-200;-200;-200
0.7;-200;-200;-200;-200;36;-200;49;-200;-200;-200;-200;-200
1.3;-200;-200;-200;-200;81;-200;71;-200;-200;-200;-200;-200
1.3;-200;-200;-200;-200;91;-200;76;-200;-200;-200;-200;-200
1;-200;-200;-200;-200;65;-200;67;-200;-200;-200;-200;-200
0.7;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200;-200
0.6;-200;-200;-200;-200;46;-200;58;-200;-200;-200;-200;-200
0.7;-200;-200;-200;-200;71;-200;53;-200;-200;-200;-200;-200
1.1;-200;-200;-200;-200;92;-200;52;-200;-200;-200;-200;-200
2.4;-200;-200;-200;-200;201;-200;68;-200;-200;-200;-200;-200
2.4;-200;-200;-200;-200;169;-200;69;-200;-200;-200;-200;-200
2.3;-200;-200;-200;-200;158;-200;83;-200;-200;-200;-200;-200
2.2;-200;-200;-200;-200;147;-200;99;-200;-200;-200;-200;-200
1.8;-200;-200;-200;-200;119;-200;101;-200;-200;-200;-200;-200
2;-200;-200;-200;-200;114;-200;104;-200;-200;-200;-200;-200
1.5;-200;-200;-200;-200;92;-200;89;-200;-200;-200;-200;-200
1.4;-200;-200;-200;-200;82;-200;88;-200;-200;-200;-200;-200
1.5;-200;-200;-200;-200;85;-200;89;-200;-200;-200;-200;-200
1.6;-200;-200;-200;-200;96;-200;92;-200;-200;-200;-200;-200
1.9;-200;-200;-200;-200;104;-200;109;-200;-200;-200;-200;-200
2;-200;-200;-200;-200;101;-200;107;-200;-200;-200;-200;-200
2.3;-200;-200;-200;-200;128;-200;116;-200;-200;-200;-200;-200
2.4;-200;-200;-200;-200;147;-200;124;-200;-200;-200;-200;-200
1.8;-200;-200;-200;-200;115;-200;112;-200;-200;-200;-200;-200
1.7;-200;-200;-200;-200;97;-200;99;-200;-200;-200;-200;-200
1.2;-200;-200;-200;-200;74;-200;85;-200;-200;-200;-200;-200
0.8;-200;-200;-200;-200;50;-200;69;-200;-200;-200;-200;-200
0.7;-200;-200;-200;-200;41;-200;58;-200;-200;-200;-200;-200
0.6;-200;-200;-200;-200;36;-200;49;-200;-200;-200;-200;-200
0.6;835;-200;3.8;699;-200;912;-200;1361;796;19.8;59.3;1.3505
0.6;792;-200;2.5;621;40;1015;56;1322;714;20;59.3;1.3681
0.4;749;-200;1.7;559;25;1145;33;1255;584;22.5;48.6;1.3077
0.5;803;-200;3.4;676;38;975;39;1303;676;19.5;57;1.2739
0.7;818;-200;4.3;726;38;921;43;1330;685;19.6;56.1;1.2651
1.2;932;-200;7.1;861;75;767;62;1483;894;20.7;53.3;1.287
1.7;977;-200;8.3;913;104;744;81;1512;977;24.7;41.8;1.2839
1.8;1011;-200;9.1;945;134;733;102;1570;1034;29.9;30.5;1.2616
1.5;975;-200;7.7;887;85;829;86;1478;737;32.3;27.2;1.2933
1.2;958;-200;7.2;867;30;828;37;1468;660;34.3;24.5;1.3021
1.1;903;-200;5.8;805;49;886;64;1361;581;33.4;22.5;1.1398
-200;854;-200;3.5;684;-200;1020;-200;1294;456;32.7;22.8;1.1069
-200;890;-200;4.7;749;-200;953;-200;1332;483;34.5;20.5;1.1028
-200;962;-200;6.7;845;-200;877;-200;1379;575;35.9;20.3;1.18
-200;1028;-200;8.9;934;-200;786;-200;1481;707;35.8;23;1.3323
-200;1031;-200;8;901;-200;775;-200;1502;628;33.5;29;1.4797
-200;1087;-200;9;938;-200;690;-200;1613;747;29.8;39.6;1.6324
-200;1029;-200;7.1;862;-200;727;-200;1539;733;27.9;43.1;1.6004
-200;1070;-200;8.8;932;-200;685;-200;1648;847;27.3;44.5;1.5885
-200;1059;-200;8.4;914;-200;697;-200;1617;895;26;47.6;1.5806
-200;1125;-200;9.3;952;-200;646;-200;1690;995;25.3;52.9;1.6765
-200;1062;-200;6.4;829;-200;714;-200;1592;846;24.5;56.3;1.7026
-200;1049;-200;6.9;853;-200;699;-200;1605;882;23.5;59.8;1.7141
-200;999;-200;7.3;871;-200;711;-200;1580;909;22.6;62.6;1.6945
-200;947;-200;5.9;808;-200;768;-200;1537;851;21.8;64.6;1.6721
-200;904;-200;4.8;753;-200;809;-200;1529;766;21;66.9;1.6454
-200;894;-200;3.5;681;-200;843;-200;1476;765;21.2;66.4;1.6468
-200;875;-200;3;654;-200;897;-200;1463;752;21;66.5;1.6344
-200;870;-200;2.8;637;-200;947;-200;1445;716;21.3;64.1;1.6043
-200;952;-200;4.8;756;-200;809;-200;1518;825;22.7;58.1;1.5856
-200;949;-200;3.9;705;-200;859;-200;1460;691;25.1;51.8;1.6304
-200;1028;-200;6.9;854;-200;776;-200;1561;761;29.5;39;1.5868
-200;1003;-200;6.8;849;-200;800;-200;1511;710;32.3;31.8;1.5128
-200;934;-200;5;763;-200;872;-200;1435;567;33.6;28.9;1.4792
-200;872;-200;4;710;-200;956;-200;1377;493;31.9;28.2;1.3116
-200;852;-200;3.5;684;-200;982;-200;1343;477;32.5;25.9;1.2437
-200;881;-200;4.1;715;-200;955;-200;1352;502;34.1;23.4;1.2307
-200;942;-200;5.4;783;-200;898;-200;1397;568;36.2;21.4;1.2664
-200;1038;-200;8.6;925;-200;746;-200;1534;714;35.6;22.6;1.2984
-200;1042;-200;8.8;932;-200;752;-200;1530;717;33.6;25.7;1.3101
-200;1181;-200;13.7;1107;-200;590;-200;1807;935;29.9;35.2;1.4603
-200;1116;-200;11.8;1044;-200;613;-200;1694;954;28.3;39.2;1.4826
-200;1062;-200;8.6;923;-200;697;-200;1602;839;27;43;1.5118
-200;1085;-200;9.2;948;-200;680;-200;1635;880;26.2;46.8;1.5669
-200;1161;-200;12.2;1057;-200;613;-200;1764;1026;25.1;51.5;1.621
-200;1053;-200;7.8;891;-200;690;-200;1589;898;24.1;55.3;1.6363
-200;956;-200;4.5;740;-200;831;-200;1474;717;23.8;57.8;1.677
-200;859;-200;2.9;646;-200;951;-200;1376;607;23.7;56.2;1.6255
-200;813;-200;1.8;566;-200;1123;-200;1328;501;24.8;52.2;1.6086
-200;815;-200;1.7;565;-200;1127;-200;1350;541;22.9;59.4;1.6353
-200;902;-200;3.9;706;-200;877;-200;1463;708;22;62.3;1.6266
-200;1017;-200;7.6;885;-200;726;-200;1609;884;21.5;64;1.6256
-200;1336;-200;23.3;1385;-200;477;-200;2133;1357;22.6;60.3;1.6287
-200;1393;-200;30.7;1567;-200;416;-200;2381;1562;23.8;56.5;1.64
-200;1271;-200;20.4;1308;-200;517;-200;2007;1411;25.7;50.6;1.6475
-200;1169;-200;13.7;1107;-200;607;-200;1818;1175;27.8;45.4;1.6751
-200;1143;-200;11.8;1043;-200;643;-200;1747;1079;29.9;39.6;1.6397
-200;1084;-200;10.1;980;-200;679;-200;1653;923;31.6;34.7;1.589
-200;1051;-200;9.3;950;-200;715;-200;1644;748;31.5;34.4;1.5665
-200;1020;-200;7.6;882;-200;765;-200;1553;635;31.2;35;1.5669
-200;1111;-200;13.1;1088;-200;635;-200;1719;884;33;31.4;1.5583
-200;1125;-200;12.2;1056;-200;645;-200;1716;929;33.8;29.2;1.5143
-200;1099;-200;11.9;1048;-200;657;-200;1711;779;33;29.5;1.4613
-200;1132;-200;14.1;1121;-200;611;-200;1757;906;32.3;30.2;1.4347
-200;1077;-200;11.3;1025;-200;629;-200;1677;772;28.4;38.4;1.4616
-200;1076;-200;10.3;988;-200;648;-200;1649;883;26.9;43.2;1.5052
-200;1070;-200;10.8;1008;-200;656;-200;1649;963;26;43.6;1.4407
-200;1052;-200;9.4;956;-200;675;-200;1581;987;25;47.6;1.4872
-200;988;-200;7.1;862;-200;736;-200;1539;893;24.6;50.9;1.5508
-200;926;-200;5.1;769;-200;836;-200;1467;801;24;55.6;1.6381
-200;925;-200;4.7;749;-200;826;-200;1482;739;23.5;58.3;1.6672
-200;869;-200;2.9;648;-200;953;-200;1401;644;22.7;60.8;1.6519
-200;832;-200;2.1;593;-200;1049;-200;1347;558;24.1;55.5;1.6481
-200;854;-200;2.9;645;-200;954;-200;1399;602;22.5;60.9;1.6424
-200;913;-200;4.3;726;-200;861;-200;1487;737;22;64.5;1.6847
-200;976;-200;6.6;840;-200;756;-200;1555;885;22.3;62.9;1.6754
-200;1309;-200;21;1323;-200;505;-200;2098;1360;23.1;60;1.6711
-200;1333;-200;26.2;1460;-200;443;-200;2231;1455;24.7;55.1;1.6872
-200;1209;-200;16.1;1182;-200;546;-200;1911;1255;27.7;46.1;1.6852
-200;1180;-200;15.3;1157;-200;568;-200;1874;1202;29.8;38.8;1.6029
-200;1204;-200;16.5;1196;-200;552;-200;1884;1250;31.5;32.6;1.478
-200;1143;-200;14.1;1119;-200;610;-200;1770;1103;31.8;30.5;1.4083
-200;1120;-200;12.2;1058;-200;626;-200;1716;1049;31.4;31.8;1.441
2.9;1030;-200;8.9;935;-200;726;-200;1583;791;32.5;28.7;1.3796
1.9;1058;-200;11;1016;209;673;101;1625;832;33.8;25.8;1.3338
1.4;1040;-200;7.6;882;132;756;71;1560;635;34.5;28.6;1.5393
2;1093;-200;10.1;981;166;666;82;1676;733;32.7;33;1.5987
2.7;1184;-200;14.1;1119;243;594;104;1806;912;31.4;35.4;1.5972
2.8;1180;-200;14.1;1121;247;568;105;1816;947;27.7;43.5;1.592
2;1079;-200;10.3;988;165;633;87;1694;899;26.2;47.8;1.5979
2.1;1095;-200;11.5;1032;187;621;98;1730;984;25.7;48.7;1.5825
2;1073;-200;10.9;1009;206;639;105;1655;955;25.2;50.1;1.58
1.8;1063;-200;10.4;991;200;655;104;1672;966;24.4;53.4;1.6031
1.9;1046;-200;9.5;960;189;671;96;1637;899;23.7;55.4;1.6031
1.3;953;-200;7;858;136;742;79;1544;780;22.8;58.5;1.5992
0.7;864;-200;3.3;673;83;947;61;1412;636;22.8;58.5;1.5985
0.5;829;-200;2.6;628;-200;994;-200;1378;577;22.3;59.7;1.5889
0.5;838;-200;2.8;639;72;963;48;1391;596;20.8;64.9;1.571
0.6;913;-200;4.3;728;121;802;63;1418;887;19.7;66.8;1.5184
1.3;1039;-200;8.5;921;268;687;92;1556;1115;19.8;64.3;1.4678
3.6;1252;-200;20.9;1320;451;499;99;2001;1374;20.6;62.3;1.4915
4.9;1410;-200;35.2;1669;458;393;117;2555;1644;23.2;54;1.5143
3.9;1217;-200;18.7;1261;487;533;142;1941;1375;26.3;43.1;1.4542
2.2;1114;-200;12.8;1077;319;633;121;1705;1199;29.1;35.4;1.4008
1.9;1026;-200;11.2;1020;269;689;122;1603;992;30;31.6;1.3176
2.2;1051;-200;13.3;1094;224;646;108;1675;966;32.4;26.3;1.2594
2;1027;-200;11.3;1024;162;700;80;1588;814;31.3;29.1;1.3054
1.7;996;-200;10.4;992;189;722;93;1580;727;31.1;28.6;1.2718
2;1028;-200;12.3;1060;213;686;108;1601;806;33.3;24.4;1.232
2.1;1030;-200;12.3;1060;245;705;118;1588;852;35.5;21.2;1.2022
3.2;1133;-200;19.4;1280;341;595;149;1791;1093;34.6;22;1.189
4;1180;-200;21.5;1339;382;567;171;1868;1211;33.3;23.6;1.1842
4.4;1261;-200;25.7;1446;358;528;154;2061;1346;30;28.5;1.1896
3;1093;-200;14.5;1133;288;599;122;1708;1200;28;33;1.2264
2.2;1068;-200;11.4;1029;252;650;126;1612;1192;27.2;37.4;1.3279
1.7;1031;-200;9.5;958;201;700;121;1560;1074;26.6;39.9;1.3657
1.9;1055;-200;11.6;1037;225;635;125;1632;1161;25.3;41.7;1.3247
2;1060;-200;11.4;1029;242;622;126;1663;1210;24.3;44.7;1.3432
1.5;962;-200;7.5;880;167;726;96;1484;1050;24.4;45.6;1.3779
0.8;874;-200;5.3;776;99;846;73;1416;873;23.1;49.9;1.3891
0.6;832;-200;3.1;661;-200;977;-200;1312;766;22.7;51.3;1.3977
0.6;834;-200;4;709;87;907;65;1348;835;21.8;54.1;1.4004
0.7;865;-200;4.6;745;164;866;90;1394;901;21;56.9;1.3999
0.8;903;-200;5.8;803;87;819;58;1471;853;21.8;55.5;1.4323
2.9;1236;-200;20;1297;93;542;27;1997;1321;21.6;57.2;1.4607
5.2;1464;-200;30;1552;417;419;67;2366;1738;22.8;54.2;1.4886
3.3;1258;-200;18.7;1261;406;514;96;1940;1603;26.2;45;1.5098
-200;1203;-200;15.8;1174;-200;577;-200;1824;1426;30.8;34.8;1.5165
-200;1156;-200;14.3;1127;-200;616;-200;1767;1295;34.1;28.8;1.5105
-200;1106;-200;14.4;1130;-200;623;-200;1726;1093;35.9;24.7;1.437
-200;1008;-200;11.6;1037;-200;697;-200;1587;803;33.7;25.1;1.2915
-200;1011;-200;11.1;1017;-200;704;-200;1569;738;34.4;24;1.279
-200;1049;-200;13.5;1100;-200;667;-200;1635;870;36.4;20.3;1.214
-200;1053;-200;13.7;1108;-200;694;-200;1570;873;38.7;17.3;1.1729
-200;1088;-200;15.3;1159;-200;666;-200;1626;889;37.2;18.9;1.1774
-200;1248;-200;26;1454;-200;550;-200;1917;1599;36.1;20;1.1767
-200;1374;-200;28.6;1517;-200;490;-200;2069;1704;32.8;29.4;1.4344
-200;1213;-200;17;1210;-200;572;-200;1809;1424;30;35.9;1.4958
-200;1108;-200;12;1051;-200;640;-200;1616;1199;28.7;38.2;1.4794
-200;1071;-200;10.1;982;-200;649;-200;1557;1099;28.1;40.4;1.512
-200;1044;-200;9.7;967;-200;672;-200;1540;1133;27.4;41.4;1.4877
-200;1045;-200;9.6;964;-200;666;-200;1554;1140;26.4;44;1.4919
-200;1004;-200;8.5;921;-200;699;-200;1495;1092;24.9;47.9;1.4855
-200;944;-200;5.7;796;-200;784;-200;1407;1021;24;50.3;1.476
-200;868;-200;3.1;657;-200;921;-200;1356;764;25.2;47.9;1.5129
-200;850;-200;2.7;632;-200;954;-200;1316;803;24.2;50.6;1.5011
-200;873;-200;3.3;668;-200;911;-200;1354;744;23.1;55;1.5357
-200;905;-200;5.1;766;-200;842;-200;1438;818;22.9;56.2;1.5522
-200;1249;-200;18;1239;-200;540;-200;1953;1285;22;59.3;1.5523
-200;1488;-200;34.5;1653;-200;388;-200;2537;1782;23.7;54;1.5627
-200;1300;-200;20;1296;-200;489;-200;1989;1639;26.7;45.7;1.5747
-200;1311;-200;18.9;1267;-200;524;-200;1941;1662;31.4;34.5;1.5599
-200;1232;-200;17;1210;-200;565;-200;1832;1478;34.5;28.5;1.5324
-200;1113;-200;13.4;1096;-200;635;-200;1636;1050;36.4;23.6;1.4064
-200;1048;-200;11.2;1021;-200;698;-200;1570;846;35.1;23.2;1.2884
-200;1054;-200;11.6;1036;-200;697;-200;1585;830;35.7;22.2;1.2765
-200;1104;-200;13.5;1102;-200;670;-200;1609;1480;37.6;19.6;1.2534
-200;1130;-200;13.9;1113;-200;674;-200;1623;1127;38.8;17.6;1.1979
4.6;1229;-200;21.9;1348;-200;565;-200;1830;1445;39.3;16;1.1138
4.3;1347;-200;23.2;1382;-200;529;-200;1961;1543;37;23.6;1.4639
4.9;1424;-200;24.5;1417;-200;488;-200;2092;1674;33.2;30.1;1.5095
4;1305;-200;16.3;1188;-200;546;-200;1843;1524;31;33.1;1.462
